iter	Passed	Remaining
767	2141	646
768	2147	645
769	2151	642
770	2156	640
771	2161	638
772	2165	635
773	2171	634
774	2177	632
775	2180	629
776	2188	627
777	2193	625
778	2195	622
779	2199	620
780	2204	618
781	2208	615
782	2211	612
783	2216	610
784	2221	608
785	2223	605
786	2225	602
787	2228	599
788	2233	597
789	2236	594
790	2239	591
791	2241	588
792	2246	586
793	2249	583
794	2251	580
795	2253	577
796	2256	574
797	2260	572
798	2263	569
799	2266	566
800	2268	563
801	2270	560
802	2273	557
803	2277	555
804	2280	552
805	2282	549
806	2285	546
807	2290	544
808	2293	541
809	2296	538
810	2299	535
811	2303	533
812	2308	530
813	2313	528
814	2316	525
815	2321	523
816	2326	521
817	2328	518
818	2332	515
819	2338	513
820	2342	510
821	2345	507
822	2347	504
823	2353	502
824	2357	500
825	2360	497
826	2365	494
827	2370	492
828	2373	489
829	2375	486
830	2377	483
831	2381	480
832	2385	478
833	2387	475
834	2389	472
835	2391	469
836	2395	466
837	2400	464
838	2403	461
839	2406	458
840	2410	455
841	2415	453
842	2418	450
843	2421	447
844	2425	445
845	2429	442
846	2431	439
847	2433	436
848	2435	433
849	2437	430
850	2441	427
851	2443	424
852	2445	421
853	2447	418
854	2449	415
855	2451	412
856	2454	409
857	2458	406
858	2460	403
859	2462	400
860	2464	397
861	2466	394
862	2469	391
863	2472	389
864	2475	386
865	2477	383
866	2479	380
867	2481	377
868	2483	374
869	2487	371
870	2490	368
871	2493	365
872	2494	362
873	2496	359
874	2500	357
875	2503	354
876	2505	351
877	2507	348
878	2509	345
879	2511	342
880	2514	339
881	2518	336
882	2520	334
883	2523	331
884	2526	328
885	2528	325
886	2532	322
887	2534	319
888	2537	316
889	2539	313
890	2540	310
891	2542	307
892	2547	305
893	2551	302
894	2555	299
895	2557	296
896	2562	294
897	2565	291
898	2568	288
899	2571	285
900	2573	282
901	2578	280
902	2581	277
903	2583	274
904	2585	271
905	2586	268
906	2588	265
907	2593	262
908	2596	259
909	2598	257
910	2600	254
911	2602	251
912	2604	248
913	2608	245
914	2611	242
915	2614	239
916	2616	236
917	2620	234
918	2624	231
919	2626	228
920	2628	225
921	2630	222
922	2632	219
923	2634	216
924	2638	213
925	2641	211
926	2643	208
927	2645	205
928	2647	202
929	2648	199
930	2651	196
931	2655	193
932	2657	190
933	2659	187
934	2661	185
935	2663	182
936	2665	179
937	2669	176
938	2672	173
939	2675	170
940	2677	167
941	2679	164
942	2682	162
943	2686	159
944	2689	156
945	2692	153
946	2695	150
947	2700	148
948	2704	145
949	2706	142
950	2709	139
951	2713	136
952	2716	133
953	2718	131
954	2720	128
955	2722	125
956	2724	122
957	2727	119
958	2731	116
959	2733	113
960	2736	111
961	2739	108
962	2741	105
963	2745	102
964	2748	99
965	2751	96
966	2753	93
967	2754	91
968	2756	88
969	2760	85
970	2763	82
971	2765	79
972	2767	76
973	2769	73
974	2771	71
975	2775	68
976	2778	65
977	2780	62
978	2782	59
979	2784	56
